DOW,Rooms,Rate
1,700,$216.79 
1,1020,$201.64 
1,1327,$136.60 
1,2087,$118.10 
1,757,$179.12 
1,90,$258.73 
1,1489,$136.37 
1,781,$165.35 
1,209,$287.84 
1,2352,$111.52 
1,1508,$145.17 
1,723,$154.89 
1,498,$162.87 
1,1401,$139.69 
1,2277,$120.22 
1,1110,$180.05 
1,1537,$180.54 
1,352,$257.51 
1,541,$185.57 
1,392,$273.46 
1,80,$353.88 
1,656,$229.53 
1,1448,$134.13 
1,234,$360.64 
1,1138,$192.38 
1,815,$170.60 
1,935,$193.03 
1,2050,$126.25 
1,1126,$156.27 
1,1850,$129.54 
1,256,$281.56 
1,323,$233.15 
1,520,$170.36 
1,1247,$134.10 
1,1063,$156.68 
1,57,$255.85 
1,642,$161.34 
1,759,$150.92 
1,804,$169.18 
1,147,$214.62 
1,277,$228.61 
1,181,$368.28 
1,358,$238.82 
1,127,$269.75 
1,427,$237.99 
1,596,$169.92 
1,236,$243.63 
1,809,$200.05 
1,1139,$148.17 
1,738,$199.68 
1,1118,$130.27 
1,80,$216.44 
1,1109,$133.95 
1,922,$187.55 
1,1800,$129.02 
1,2057,$112.51 
1,1754,$129.67 
1,935,$389.91 
2,2266,$112.17 
2,692,$202.05 
2,904,$462.12 
2,1601,$132.18 
2,367,$198.40 
2,803,$156.38 
2,1801,$117.95 
2,911,$162.70 
2,577,$271.77 
2,200,$335.16 
2,50,$245.98 
2,2077,$117.79 
2,665,$217.98 
2,1562,$141.76 
2,439,$264.04 
2,974,$141.53 
2,733,$171.02 
2,911,$186.41 
2,2110,$123.99 
2,527,$282.39 
2,1024,$185.63 
2,172,$345.42 
2,760,$181.87 
2,242,$187.89 
2,1098,$205.49 
2,1064,$158.70 
2,1053,$445.98 
2,244,$319.98 
2,434,$336.42 
2,2226,$116.58 
2,1040,$149.67 
2,1587,$136.43 
2,2379,$125.47 
2,388,$248.20 
2,1240,$142.74 
2,648,$225.53 
2,2174,$122.55 
2,493,$312.73 
2,398,$163.11 
2,548,$169.47 
2,517,$161.91 
2,1560,$134.12 
2,435,$192.07 
2,1345,$158.39 
2,527,$168.36 
2,511,$228.26 
2,831,$138.16 
2,1039,$131.29 
2,584,$188.90 
2,1076,$136.25 
2,57,$245.04 
2,457,$168.32 
2,362,$233.33 
2,913,$157.26 
2,961,$298.38 
2,1136,$142.38 
2,683,$186.42 
2,800,$150.56 
2,973,$184.90 
2,1907,$118.58 
2,1246,$154.41 
2,1828,$127.81 
2,1591,$126.38 
2,1861,$111.54 
2,2289,$124.42 
2,908,$412.58 
3,2486,$112.74 
3,856,$462.01 
3,1308,$137.47 
3,1563,$133.78 
3,414,$217.14 
3,2161,$106.26 
3,1352,$130.94 
3,1095,$182.35 
3,638,$272.29 
3,160,$309.95 
3,103,$215.13 
3,834,$160.90 
3,1132,$145.93 
3,1424,$158.92 
3,1385,$154.90 
3,797,$138.77 
3,765,$277.24 
3,1020,$175.22 
3,816,$179.28 
3,510,$256.47 
3,860,$186.14 
3,292,$308.35 
3,600,$275.74 
3,282,$258.90 
3,60,$359.21 
3,179,$193.39 
3,899,$165.80 
3,557,$208.35 
3,621,$192.38 
3,1425,$130.11 
3,426,$199.77 
